"","Volume","UV"
"15002",25,0.004832
"15063",25.1,0.004323
"15123",25.2,0.004411
"15182",25.3,0.004504
"15242",25.4,0.004652
"15302",25.5,0.005043
"15363",25.6,0.004501
"15423",25.7,0.004217
"15482",25.8,0.004593
"15542",25.9,0.003875
"15602",26,0.004201
"15663",26.1,0.004263
"15723",26.2,0.005298
"15782",26.3,0.003962
"15842",26.4,0.003989
"15902",26.5,0.003777
"15963",26.6,0.00477
"16023",26.7,0.004936
"16082",26.8,0.004334
"16142",26.9,0.004603
"16202",27,0.004847
"16263",27.1,0.005522
"16323",27.2,0.004321
"16382",27.3,0.004335
"16442",27.4,0.004681
"16502",27.5,0.004527
"16563",27.6,0.005037
"16623",27.7,0.004574
"16682",27.8,0.003868
"16742",27.9,0.004199
"16802",28,0.004291
